,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
129,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
130,126,Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,1,0,0,16,10,1,2,1,5,0,0,0,15,12,26,31.6,Matches
131,127,Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,1998,5.2,2,0,0,6,4,1,18,4,6,0,0,0,36,12,19,38.7,Matches
132,128,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,26,1994,17.9,1,0,0,17,27,18,34,7,6,0,0,0,86,15,42,26.3,Matches
133,129,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,5,0,0,35,31,2,2,41,54,0,0,0,192,33,39,45.8,Matches
134,130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6.0,1,0,0,0,0,0,0,1,0,0,0,0,17,2,0,100.0,Matches
135,131,Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0,Matches
136,132,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,25,1996,19.2,2,0,0,8,20,2,71,12,8,0,0,0,83,0,9,0.0,Matches
137,133,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches
138,134,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,5,0,0,17,14,0,2,15,6,0,0,1,43,21,10,67.7,Matches
139,135,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,de Bundesliga,18,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
140,136,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15.0,2,0,0,13,23,0,29,19,9,0,0,0,122,4,6,40.0,Matches
